Tour Code; Tour Description; Year; Tourn.#; Player #; Course #; Permanent Tournament #; Player First Name; Player Last Name; Round; Tournament Name;Course Name; Hole; Hole Score; Par Value; Yardage;  Shot; Shot Type(S/P/D);# of Strokes; From Location(Scorer); From Location(Laser); To Location(Scorer); To Location(Laser); Distance; Distance to Pin; In the Hole Flag; Around the Green Flag;1st Putt Flag; Distance to Hole after the Shot; Time; Lie; Elevation; Slope; X Coordinate; Y Coordinate;  Z Coordinate; Distance from Center; Distance from Edge
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;01; 4;04;424;01;S;1;Tee Box;;Primary Rough;Right Rough;10677;15444;N;N;;00000004788;1255;Good;With;Level;  9,093.9700;  9,859.8950;    480.3160;00562;00126
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;01; 4;04;424;02;S;1;Primary Rough;Right Rough;Green;Unknown;04932;04788;N;N;;00000000281;1300;N/A;With;Level;  8,683.7490;  9,868.7140;    503.7450;00232;00025
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;01; 4;04;424;03;S;1;Green;Unknown;Green;Unknown;00326;00281;N;N;Y;00000000039;1304;Good;With;Level;  8,697.4470;  9,845.2910;    504.0200;00033;00199
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;01; 4;04;424;04;S;1;Green;Unknown;;;00039;00039;Y;N;;00000000000;1305;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;02; 2;03;214;01;S;1;Tee Box;;Green;Unknown;07727;07812;N;N;;00000000231;1307;Good;With;Level;  9,211.5010; 10,024.6130;    490.7560;00214;00347
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;02; 2;03;214;02;S;1;Green;Unknown;;;00231;00231;Y;N;Y;00000000000;1312;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;03; 4;04;387;01;S;1;Tee Box;;Fairway;Left Fairway;10069;13464;N;N;;00000003440;1315;Good;With;Level;  8,447.8340; 10,051.8370;    507.8760;00127;00344
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;03; 4;04;387;02;S;1;Fairway;Left Fairway;Green;Unknown;03309;03440;N;N;;00000000132;1320;Good;With;Level;  8,172.9840; 10,069.2760;    521.3440;00015;00032
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;03; 4;04;387;03;S;1;Green;Unknown;Green;Unknown;00150;00132;N;N;Y;00000000014;1324;Good;With;Level;  8,160.5240; 10,070.6230;    521.5690;00002;00140
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;03; 4;04;387;04;S;1;Green;Unknown;;;00014;00014;Y;N;;00000000000;1324;Good;With;Level;       .0000;       .0000;       .0000;00000;00000
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;04; 4;04;440;01;S;1;Tee Box;;Primary Rough;Left Rough;10216;15768;N;N;;00000005727;1326;Good;With;Level;  8,174.5070;  9,313.6620;    514.1030;00550;00278
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;04; 4;04;440;02;S;1;Primary Rough;Left Rough;Green Side Bunker;Right Front Green Side Bunker;05513;05727;N;Y;;00000000418;1331;N/A;With;Level;  8,087.0450;  8,862.7840;    523.6280;00329;00241
R;PGA TOUR;2011;410;01810;688;060;Phil;Mickelson;01;TOUR Championship by Coca-Cola;East Lake GC;04; 4;04;440;03;S;1;Green Side Bunker;Right Front Green Side Bunker;Green;Unknown;00409;00418;N;N;;00000000018;1334;Good;With;Level;  8,113.7330;  8,842.0490;    528.2370;00001;00138
